Scheme Name	Net Asset Value
Franklin India Short-Term Income Plan-Weekly Bonus	0.0000
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund )- Regular Plan - Growth Option	1826.7119
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund) - Direct Plan - Growth Option	2055.111
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1014.2791
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1014.3941
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1013.3367
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1015.6326
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1020.187
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1013.2815
HDFC Short Term  Debt Fund - Fortnightly IDCW - Direct Plan	10.3199
HDFC Short Term  Debt Fund - Fortnightly IDCW Option	10.2129
HDFC Short Term  Debt Fund - Growth Option	27.6795
HDFC Short Term  Debt Fund - Growth Option - Direct Plan	28.4215
HDFC Short Term  Debt Fund - Normal IDCW - Direct Plan	18.1118
HDFC Short Term  Debt Fund - Normal IDCW Option	17.7221
HSBC Short Duration Fund -  Regular Plan - Monthly IDCW	11.0579
HSBC Short Duration Fund - Bonus	23.0146
HSBC Short Duration Fund - Direct Annual IDCW	12.569
HSBC Short Duration Fund - Direct Growth	24.1889
HSBC Short Duration Fund - Direct Plan -  Monthly IDCW	11.7283
HSBC Short Duration Fund - Direct Quarterly IDCW	11.4439
HSBC Short Duration Fund - Regular Annual IDCW	12.0942
HSBC Short Duration Fund - Regular Growth	23.0154
HSBC Short Duration Fund - Regular Quarterly IDCW	10.6625
ICICI Prudential Short Term Fund - Bonus	42.3355
ICICI Prudential Short Term Fund - Direct Plan - Bonus	40.9620
ICICI Prudential Short Term Fund - Direct Plan - Growth Option	56.3129
ICICI Prudential Short Term Fund - Direct Plan - Half Yearly IDCW	13.7741
ICICI Prudential Short Term Fund - Direct Plan - Monthly IDCW	12.7581
ICICI Prudential Short Term Fund - Direct Plan - Reinvestment of IDCW Fortnightly	12.8230
ICICI Prudential Short Term Fund - Growth Option	52.1914
ICICI Prudential Short Term Fund - Half Yearly IDCW	13.4958
ICICI Prudential Short Term Fund - Reinvestment of IDCW Fortnightly	12.2409
ICICI Prudential Short Term Fund - Monthly IDCW	12.1355
ICICI Prudential Short Term Fund - Institutional Plan - Dividend Monthly	12.6927
ICICI Prudential Short Term Fund-Institutional Growth	43.8071
ICICI Prudential Short Term Fund-Institutional Plan-Dividend Fortnightly	12.8807
Invesco India Short Term Fund - Daily IDCW (Reinvestment)	1036.8661
Invesco India Short Term Fund - Direct Plan - Daily IDCW (Reinvestment)	1023.5517
Invesco India Short Term Fund - Direct Plan - Growth	3390.7724
Invesco India Short Term Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	2231.2727
Invesco India Short Term Fund - Direct Plan -Discretionary IDCW (Payout / Reinvestment)	2392.2295
Invesco India Short Term Fund - Direct Plan -Weekly IDCW (Reinvestment)	1019.292
Invesco India Short Term Fund - Growth	3097.9655
Invesco India Short Term Fund - Monthly IDCW (Payout / Reinvestment)	1052.2249
Invesco India Short Term Fund - Plan B - Growth	3087.1894
Invesco India Short Term Fund - Plan B - Monthly IDCW (Payout / Reinvestment)	2025.6115
Invesco India Short Term Fund - Plan B - Weekly IDCW (Reinvestment)	1015.7413
Invesco India Short Term Fund - Weekly IDCW (Reinvestment)	1019.2325
Invesco India Short Term Fund- Discretionary IDCW (Payout / Reinvestment)	2310.916
JM Short Duration Fund (Direct) - Growth	10.6516
JM Short Duration Fund (Direct) - IDCW	10.6516
JM Short Duration Fund (Regular) - Growth	10.5589
JM Short Duration Fund (Regular) - IDCW	10.5590
JM Short Term Fund (Direct) - Daily Dividend Option	14.6036
JM Short Term Fund (Direct) - Dividend Option	10.6757
JM Short Term Fund (Direct) - Growth Option	26.9629
JM Short Term Fund - Daily Dividend Option	14.0738
JM Short Term Fund - Dividend Option	10.6037
JM Short Term Fund - Growth Option	26.4425
JM Short Term Fund - Regular Plan - Daily Dividend Option	13.9335
JM Short Term Fund - Regular Plan - Dividend Option	11.6715
JM Short Term Fund - Regular Plan - Growth Option	36.0763
Kotak Bond Short Term Plan - Direct - Standard Income Distribution cum capital withdrawal option	13.9592
Kotak Bond Short Term Plan - Regular Plan - Normal Dividend	10.7626
Kotak Bond Short Term Plan-(Growth)	45.4518
Kotak Bond Short Term Plan-(Growth) - Direct	49.3339
Kotak Bond Short Term Plan-(Payout of Income Distribution cum capital withdrawal option)	10.0545
LIC MF Short Duration Fund-Direct Plan-Growth	13.3757
LIC MF Short Duration Fund-Direct Plan-IDCW	13.3757
LIC MF Short Duration Fund-Direct Plan-Monthly IDCW	13.3756
LIC MF Short Duration Fund-Direct Plan-Weekly IDCW	13.3756
LIC MF Short Duration Fund-Regular Plan-Growth	12.7464
LIC MF Short Duration Fund-Regular Plan-IDCW	12.7464
LIC MF Short Duration Fund-Regular Plan-Monthly IDCW	12.7465
LIC MF Short Duration Fund-Regular Plan-Weekly IDCW	12.6918
Mahindra Manulife Short Duration Fund - Direct Plan - IDCW	10.9738
Mahindra Manulife Short Duration Fund - Direct Plan -Growth	11.3897
Mahindra Manulife Short Duration Fund - Regular Plan - Growth	11.1177
Mahindra Manulife Short Duration Fund - Regular Plan - IDCW	10.7028
Mirae Asset Short Term Fund -Direct Plan- Growth	14.3514
Mirae Asset Short Term Fund Direct IDCW	14.3304
Mirae Asset Short Term Fund Regular IDCW	13.7422
Mirae Asset Short Term Fund- Regular Plan -Growth	13.7393
NIPPON INDIA SHORT TERM FUND - Direct Plan - IDCW Option	19.9827
NIPPON INDIA SHORT TERM FUND - Direct Plan - MONTHLY IDCW Option	11.6530
NIPPON INDIA SHORT TERM FUND - Direct Plan - QUARTERLY IDCW OPTION	15.0920
Nippon India Short Term Fund - Direct Plan Growth Plan - Growth Option	49.1695
NIPPON INDIA SHORT TERM FUND - IDCW Option	18.5974
NIPPON INDIA SHORT TERM FUND - MONTHLY IDCW Option	11.4348
NIPPON INDIA SHORT TERM FUND - QUARTERLY IDCW OPTION	14.7474
Nippon India Short Term Fund-Growth Plan	45.7237
PGIM India Short Duration Fund - Annual Bonus	24.3014
PGIM India Short Duration Fund - Annual Dividend	10.0598
PGIM India Short Duration Fund - Bonus	17.6687
PGIM India Short Duration Fund - Direct Plan - Growth	42.6597
PGIM India Short Duration Fund - Direct Plan - Monthly Dividend	12.1502
PGIM India Short Duration Fund - Direct Plan - Quarterly Dividend	10.7714
PGIM India Short Duration Fund - Growth	39.1612
PGIM India Short Duration Fund - Half Yearly Bonus	14.7284
PGIM India Short Duration Fund - Monthly Dividend	11.4571
PGIM India Short Duration Fund - Quarterly Dividend	10.1729
PGIM India Short Maturity Fund - Direct Plan - Annual Bonus	23.5281
PGIM India Short Maturity Fund - Direct Plan - Annual Dividend	10.1326
PGIM India Short Maturity Fund - Direct Plan - Half Yearly Bonus	12.7489
PGIM India Short Maturity Fund - Direct Plan - Weekly Dividend	9.5938
PGIM India Short Maturity Fund - Institutional Plan - Growth	20.5151
PGIM India Short Maturity Fund - Premium Plus - Growth	17.8274
PGIM India Short Maturity Fund - Premium Plus - Quarterly Dividend	9.175
PGIM India Short Maturity Fund - Premium Plus Plan - Monthly Dividend	10.045
PGIM India Short Maturity Fund - Weekly Dividend	9.3589
SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW)	13.1295
SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	14.4748
SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	13.1094
SBI SHORT HORIZON DEBT FUND-SHORT TERM FUND - RETAIL - GROWTH	31.6028
SBI Short Term Debt Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	16.4386
SBI SHORT TERM DEBT FUND - DIRECT PLAN -GROWTH	29.4080
SBI Short Term Debt Fund - Direct Plan Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW)	19.8079
SBI Short Term Debt Fund - Direct Plan Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	12.8815
SBI Short Term Debt Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	15.4427
SBI SHORT TERM DEBT FUND - REGULAR PLAN -GROWTH	27.9320
SBI Short Term Debt Fund - Regular Plan Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW)	12.6521
SBI Short Term Debt Fund - Regular Plan Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	12.6646
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) - Direct Plan - Income Distribution CUM Capital Withdrawal Plan - Monthly	12.9299
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Direct Plan Annual IDCW	13.4503
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Direct Plan Fortnightly IDCW	12.8995
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Direct Plan Halfyearly IDCW	13.6088
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Direct Plan Quarterly IDCW	13.6932
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Direct Weekly IDCW	12.8995
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Regular Fortnightly IDCW	12.8637
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Regular Halfyearly IDCW	13.4370
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Regular Plan Annual IDCW	13.2803
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Regular Principal Units	13.9130
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Regular Quarterly IDCW	13.5217
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Regular Weekly IDCW	12.8637
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund)- Direct Plan - Growth Option	41.2451
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund)- Growth Plan	38.5162
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund)- Income Distribution CUM Capital Withdrawal Option - Monthly	12.8924
Tata Short Term Bond Fund - Direct Plan - Growth Option	45.7058
Tata Short Term Bond Fund -Regular Plan- Growth Option	41.9411
Tata Short Term Bond Fund Direct Plan - Monthly Payout of IDCW Option	20.7558
Tata Short Term Bond Fund- Direct Plan - Periodic Payout of IDCW Option	24.2495
Tata Short Term Bond Fund- Regular Plan - Monthly Payout of IDCW Option	18.9387
Tata Short Term Bond Fund- Regular Plan - Periodic Payout of IDCW Option	22.2214
TRUSTMF Short Term Fund-Direct Plan-Growth	1104.8568
TRUSTMF Short Term Fund-Direct Plan-Monthly Income Distribution Cum Capital Withdrawal	1039.6151
TRUSTMF Short Term Fund-Direct Plan-Quarterly Income Distribution Cum Capital Withdrawal	1048.3131
TRUSTMF Short Term Fund-Direct Plan-Weekly Income Distribution Cum Capital Withdrawal	1032.1742
TRUSTMF Short Term Fund-Regular Plan-Growth	1093.4855
TRUSTMF Short Term Fund-Regular Plan-Monthly Income Distribution Cum Capital Withdrawal	1032.031
TRUSTMF Short Term Fund-Regular Plan-Quarterly Income Distribution Cum Capital Withdrawal	1036.9711
TRUSTMF Short Term Fund-Regular Plan-Weekly Income Distribution Cum Capital Withdrawal	1028.4376
UTI - Short Term Income Fund - Direct Plan - Growth Option	29.0531
UTI - Short Term Income Fund - Direct Plan - Half Yearly Dividend Option	11.8893
UTI - Short Term Income Fund - Discontinued Regular Option - Dividend Sub Option	20.5932
UTI - Short Term Income Fund - Discontinued Regular Option -Growth Sub Option	38.956
UTI - Short Term Income Fund - Regular Plan - Growth Option	27.5523
UTI Short Term Income Fund - Direct Plan - Annual IDCW	12.2896
UTI Short Term Income Fund - Direct Plan - Flexi IDCW	16.0471
UTI Short Term Income Fund - Direct Plan - Monthly IDCW	10.5123
UTI Short Term Income Fund - Direct Plan - Quarterly IDCW	16.4275
UTI Short Term Income Fund - Regular Plan - Annual IDCW	12.1844
UTI Short Term Income Fund - Regular Plan - Flexi IDCW	15.7325
UTI Short Term Income Fund - Regular Plan - Half-Yearly IDCW	11.8022
UTI Short Term Income Fund - Regular Plan - Monthly IDCW	11.7308
UTI Short Term Income Fund - Regular Plan - Quarterly IDCW	14.2575
Aditya Birla Sun Life Savings Fund - Discipline Advantage Plan	275.4025
Aditya Birla Sun Life Savings Fund - Growth - Direct Plan	484.9357
Aditya Birla Sun Life Savings Fund - Growth - Regular Plan	478.2439
Aditya Birla Sun Life Savings Fund-DIRECT - DAILY IDCW	100.0934
Aditya Birla Sun Life Savings Fund-DIRECT - WEEKLY IDCW	100.4256
Aditya Birla Sun Life Savings Fund-Regular - DAILY IDCW	100.0934
Aditya Birla Sun Life Savings Fund-Regular - weekly IDCW	100.41
Aditya Birla Sun Life Savings Fund-Retail - Daily IDCW	100.0934
Aditya Birla Sun Life Savings Fund-Retail Growth	462.788
Aditya Birla Sun Life Savings Fund-Weekly - retail IDCW	100.412
Axis Ultra Short Term Fund - Direct Plan - Daily IDCW	10.0338
Axis Ultra Short Term Fund - Direct Plan - Monthly IDCW	10.0436
Axis Ultra Short Term Fund - Direct Plan - Regular IDCW	13.6058
Axis Ultra Short Term Fund - Direct Plan - Weekly IDCW	10.0542
Axis Ultra Short Term Fund - Direct Plan Growth	13.6022
Axis Ultra Short Term Fund - Regular Plan - Daily IDCW	10.0689
Axis Ultra Short Term Fund - Regular Plan - Monthly IDCW	10.0438
Axis Ultra Short Term Fund - Regular Plan - Regular IDCW	13.0161
Axis Ultra Short Term Fund - Regular Plan - Weekly IDCW	10.0708
Axis Ultra Short Term Fund - Regular Plan Growth	13.0161
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN -MONTHLY IDCW	10.0945
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN GROWTH	13.4752
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN PERIODIC IDCW	11.4238
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN QUARTERLY IDCW	10.3344
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN- WEEKLY IDCW	10.0789
BANDHAN ULTRA SHORT TERM FUND - DIRECT PLAN-DAILY IDCW	10.0367
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN DAILY IDCW	10.0519
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN GROWTH	13.3584
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN MONTHLY IDCW	10.0984
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN PERIODIC IDCW	11.2368
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN QUARTERLY IDCW	10.3224
BANDHAN ULTRA SHORT TERM FUND - REGULAR PLAN WEEKLY IDCW	10.0806
BANK OF INDIA Ultra Short Duration Fund- Direct Plan- Daily IDCW	1011.9280
BANK OF INDIA Ultra Short Duration Fund- Direct Plan- Growth	2880.3215
BANK OF INDIA Ultra Short Duration Fund- Direct Plan- Weekly IDCW	1007.3317
BANK OF INDIA Ultra Short Duration Fund- Direct Plan-Bonus	2866.7120
BANK OF INDIA Ultra Short Duration Fund- Regular Plan- Daily IDCW	1007.4498
BANK OF INDIA Ultra Short Duration Fund- Regular Plan- Growth	2808.3062
BANK OF INDIA Ultra Short Duration Fund- Regular Plan- Weekly IDCW	1007.8668
Baroda BNP Paribas Ultra Short Duratio Fund- Regular Plan- Weekly IDCW	1000.7498
Baroda BNP Paribas Ultra Short Duration Fund - Regular Plan - Daily IDCW	1006.2583
Baroda BNP Paribas Ultra Short Duration Fund - Regular Plan - Growth	1351.7447
Baroda BNP Paribas Ultra Short Duration Fund- Direct Plan- Daily IDCW	1007.0751
Baroda BNP Paribas Ultra Short Duration Fund- Direct Plan- Growth	1364.8002
Baroda BNP Paribas Ultra Short Duration Fund- Direct Plan- Weekly IDCW	1000.7814
CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - DAILY IDCW (Reinvestment)	1240.7100
CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - GROWTH OPTION	3544.8479
CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	2029.0086
CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment)	1000.8176
CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment)	1240.7100
CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - DAILY IDCW (Reinvestment)	1240.7100
CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - GROWTH OPTION	3366.5831
CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment)	1000.8173
CANARA ROBECO ULTRA SHORT TERM FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment)	1240.7100
CANARA ROBECO ULTRA SHORT TERM FUND- REGULAR PLAN - IDCW (Payout)	1383.0517
DSP Ultra Short Fund - Direct Plan - Growth	3221.9892
DSP Ultra Short Fund - Direct Plan - IDCW	1121.4738
DSP Ultra Short Fund - Direct Plan - IDCW - Daily	1005.3951
DSP Ultra Short Fund - Direct Plan - IDCW - Monthly	1070.0448
DSP Ultra Short Fund - Direct Plan - IDCW - Weekly	1006.2438
DSP Ultra Short Fund - Regular Plan - Growth	3002.7943
DSP Ultra Short Fund - Regular Plan - IDCW - Daily Reinvest	1005.4914
DSP Ultra Short Fund - Regular Plan - IDCW - Monthly	1063.6233
DSP Ultra Short Fund - Regular Plan - IDCW - Payout	1110.4144
DSP Ultra Short Fund - Regular Plan - IDCW - Weekly Reinvest	1006.1227
Franklin India Ultra Short Bond Fund - Institutional - Growth	33.7757
Franklin India Ultra Short Bond Fund - Institutional - Weekly Dividend	0.0000
Franklin India Ultra Short Bond Fund - Institutional Plan - Daily - IDCW	12.3700
Franklin India Ultra Short Bond Fund - Retail - Growth	32.9262
Franklin India Ultra Short Bond Fund - Retail Plan - Daily - IDCW	12.4137
Franklin India Ultra Short Bond Fund - Retail Plan - Weekly - IDCW	12.5163
Franklin India Ultra Short Bond Fund - Super Institutional - Growth	34.9131
Franklin India Ultra Short Bond Fund - Super Institutional Plan - Daily - IDCW	12.4788
Franklin India Ultra Short Bond Fund - Super Institutional Plan - Direct - Growth	34.2355
Franklin India Ultra Short Bond Fund - Super Institutional Plan - Weekly - IDCW	12.5111
Franklin India Ultra Short Bond Fund Super Institutional Plan - Direct - Daily - IDCW	12.1512
Franklin India Ultra Short Bond Fund Super Institutional Plan - Direct - Weekly - IDCW	12.1960
Franklin India Ultra Short Bond Fund- Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Daily Dividend Option	0.0000
Franklin India Ultra Short Bond Fund- Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Option	0.0000
Franklin India Ultra Short Bond Fund- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Daily Dividend Option	0.0000
Franklin India Ultra Short Bond Fund- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Option	0.0000
Franklin India Ultra Short Bond Fund- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Weekly Dividend Option	0.0000
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Daily Dividend Option	0.0000
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct Daily Dividend Option	0.0000
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Option	0.0000
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Weekly Dividend Option	0.0000
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Option	0.0000
Franklin India Ultra Short Bond Fund- Super Institutional Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Weekly Dividend Option	0.0000
HDFC Ultra Short Term Fund - Daily IDCW Option	10.103
HDFC Ultra Short Term Fund - Direct Plan-Daily IDCW Option	10.092
HDFC Ultra Short Term Fund - Direct Plan-Growth Option	13.5062
HDFC Ultra Short Term Fund - Direct Plan-Monthly IDCW Option	10.054
HDFC Ultra Short Term Fund - Direct Plan-Weekly IDCW Option	10.054
HDFC Ultra Short Term Fund - Growth Option	13.2977
HDFC Ultra Short Term Fund - Monthly IDCW Option	10.1538
HDFC Ultra Short Term Fund - Weekly IDCW Option	10.0538
HSBC Ultra Short Duration Fund - Direct Daily IDCW	1079.9409
HSBC Ultra Short Duration Fund - Direct Growth	1199.0474
HSBC Ultra Short Duration Fund - Direct Monthly IDCW	1012.4102
HSBC Ultra Short Duration Fund - Direct Weekly IDCW	1007.4875
HSBC Ultra Short Duration Fund - Regular Daily IDCW	1031.7278
HSBC Ultra Short Duration Fund - Regular Growth	1187.9413
HSBC Ultra Short Duration Fund - Regular Monthly IDCW	1027.9913
HSBC Ultra Short Duration Fund - Regular Weekly IDCW	1041.5837
ICICI Prudential Ultra Short Term Fund - Daily IDCW	10.0606
ICICI Prudential Ultra Short Term Fund - Direct Plan -  Growth	26.0852
ICICI Prudential Ultra Short Term Fund - Direct Plan -  Half Yearly IDCW	10.7542
ICICI Prudential Ultra Short Term Fund - Direct Plan -  Monthly IDCW	10.8378
ICICI Prudential Ultra Short Term Fund - Direct Plan -  Quarterly IDCW	11.1474
ICICI Prudential Ultra Short Term Fund - Direct Plan - Daily IDCW	10.0100
ICICI Prudential Ultra Short Term Fund - Direct Plan - Fortnightly IDCW	10.0879
ICICI Prudential Ultra Short Term Fund - Direct Plan - Weekly IDCW	10.0882
ICICI Prudential Ultra Short Term Fund - Direct Plan Bonus	16.0996
ICICI Prudential Ultra Short Term Fund - Fortnightly IDCW	10.0649
ICICI Prudential Ultra Short Term Fund - Growth	24.2985
ICICI Prudential Ultra Short Term Fund - Half Yearly IDCW	10.6114
ICICI Prudential Ultra Short Term Fund - Monthly IDCW	10.7039
ICICI Prudential Ultra Short Term Fund - Quarterly IDCW	10.9385
ICICI Prudential Ultra Short Term Fund - Weekly IDCW	10.0720
Invesco India Ultra Short Term Fund - Annual IDCW (Payout / Reinvestment)	1093.8387
Invesco India Ultra Short Term Fund - Daily IDCW (Reinvestment)	1250.8676
Invesco India Ultra Short Term Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1788.0245
Invesco India Ultra Short Term Fund - Direct Plan - Daily IDCW (Reinvestment)	1272.8093
Invesco India Ultra Short Term Fund - Direct Plan - Growth	2511.0971
Invesco India Ultra Short Term Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1701.5175
Invesco India Ultra Short Term Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1041.7744
Invesco India Ultra Short Term Fund - Growth	2369.1905
Invesco India Ultra Short Term Fund - Monthly IDCW (Payout / Reinvestment)	1016.5294
Invesco India Ultra Short Term Fund - Quarterly IDCW (Payout / Reinvestment)	1077.5201
ITI Ultra Short Duration Fund - Direct Plan - Annually IDCW Option	1121.9815
ITI Ultra Short Duration Fund - Direct Plan - Daily IDCW	1001.0000
ITI Ultra Short Duration Fund - Direct Plan - Fortnightly IDCW Option	1003.5170
ITI Ultra Short Duration Fund - Direct Plan - Growth Option	1121.0022
ITI Ultra Short Duration Fund - Direct Plan - Monthly IDCW Option	1003.5177
ITI Ultra Short Duration Fund - Direct Plan - Weekly IDCW Option	1002.0799
ITI Ultra Short Duration Fund - Regular Plan - Annually IDCW Option	1099.1131
ITI Ultra Short Duration Fund - Regular Plan - Daily IDCW Option	1001.0000
ITI Ultra Short Duration Fund - Regular Plan - Fortnightly IDCW Option	1001.3545
ITI Ultra Short Duration Fund - Regular Plan - Growth Option	1099.0934
ITI Ultra Short Duration Fund - Regular Plan - Monthly IDCW Option	1001.3538
ITI Ultra Short Duration Fund - Regular Plan - Weekly IDCW Option	1001.2046
JM Ultra Short Duration Fund (Direct) - Bonus Option - Principal Units	27.8437
JM Ultra Short Duration Fund (Direct) - Fortnightly Dividend Option	10.5165
JM Ultra Short Duration Fund - (Direct) - Growth Option	27.5938
JM Ultra Short Duration Fund - (Direct) -Daily Dividend Option	10.3437
JM Ultra Short Duration Fund - (Direct) -Weekly Dividend Option	10.8856
JM Ultra Short Duration Fund - Bonus Option - Principal Units	26.9500
JM Ultra Short Duration Fund - Daily Dividend	10.2477
JM Ultra Short Duration Fund - Fortnightly Dividend	10.4216
JM Ultra Short Duration Fund - Growth option	26.7195
JM Ultra Short Duration Fund - Weekly Dividend	10.8027
Kotak Savings Fund -Growth	37.7592
Kotak Savings Fund -Monthly Payout of Income Distribution cum capital withdrawal option	10.7434
Kotak Savings Fund-Growth - Direct	39.2343
Kotak Savings Fund-Monthly Payout of Income Distribution cum capital withdrawal option - Direct	16.9386
Kotak Treasury Advantage Fund -Daily Reinvestment of Income Distribution cum capital withdrawal option	10.0798
Kotak Treasury Advantage Fund -Daily Reinvestment of Income Distribution cum capital withdrawal option - Direct	10.8186
LIC MF Ultra Short Duration Fund-Direct Plan-Daily IDCW	1102.1311
LIC MF Ultra Short Duration Fund-Direct Plan-Growth	1181.6643
LIC MF Ultra Short Duration Fund-Direct Plan-Monthly IDCW	1181.7535
LIC MF Ultra Short Duration Fund-Direct Plan-Weekly IDCW	1101.8535
LIC MF Ultra Short Duration Fund-Regular Plan-Daily IDCW	1093.4116
LIC MF Ultra Short Duration Fund-Regular Plan-Growth	1171.3811
LIC MF Ultra Short Duration Fund-Regular Plan-Monthly IDCW	1171.5563
LIC MF Ultra Short Duration Fund-Regular Plan-Weekly IDCW	1030.2403
Mahindra Manulife Ultra Short Duration Fund - Direct Plan - Daily IDCW	1098.9274
Mahindra Manulife Ultra Short Duration Fund - Direct Plan - Weekly IDCW	1001.1214
Mahindra Manulife Ultra Short Duration Fund - Direct Plan -Growth	1229.5684
Mahindra Manulife Ultra Short Duration Fund - Regular Plan - Daily IDCW	1043.6307
Mahindra Manulife Ultra Short Duration Fund - Regular Plan - Growth	1209.7286
Mahindra Manulife Ultra Short Duration Fund - Regular Plan - Weekly IDCW	1001.2267
Mirae Asset Ultra Short Duration Fund Direct Growth	1150.6292
Mirae Asset Ultra Short Duration Fund Direct IDCW	1150.8075
Mirae Asset Ultra Short Duration Fund Regular Growth	1143.6763
Mirae Asset Ultra Short Duration Fund Regular IDCW	1143.2619
Motilal Oswal Ultra Short Term Fund (MOFUSTF) -Direct Plan- Growth	15.4821
Motilal Oswal Ultra Short Term Fund (MOFUSTF)-Regular Plan- Growth	14.8176
