Scheme Name	Net Asset Value
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3197
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	29.4867
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.7378
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	28.4612
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.7944
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment)	1012.5827
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option	2089.498
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment)	1032.2094
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1015.0941
Invesco India Banking & PSU Debt Fund - Growth Option	1962.9183
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment)	1034.9403
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	11.5686
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	11.5686
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	11.3887
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	11.3887
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	56.7177
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	10.6559
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	58.672
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.273
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW	13.0873
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth	32.3449
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW	12.1815
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW	10.0531
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW	10.8899
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth	30.2685
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW	11.3283
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW	10.0509
Mirae Asset Banking and PSU Debt Fund Direct Growth	11.4570
Mirae Asset Banking and PSU Debt Fund Direct IDCW	11.4564
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan	11.3006
Mirae Asset Banking and PSU Debt Fund Regular IDCW	11.3016
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	18.5889
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	18.5887
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	18.0413
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	18.5887
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.6786
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.7497
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.2768
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	18.0413
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.6148
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.6935
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.2777
PGIM India Banking and PSU Debt fund - Bonus	13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend	10.3839
PGIM India Banking and PSU Debt fund - Monthly Dividend	10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus	11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend	10.6176
PGIM India Banking and PSU Debt Fund - Regular Dividend	10.365
PGIM India Banking and PSU Debt fund - Weekly Dividend	10.2735
